sample_id,sra_study,bioproject
SAMN00039363,SRP002395,PRJNA48333
SAMN06350120,SRP100409,PRJNA352475
SAMEA3541587,ERP012177,PRJEB10878
SAMN03398541,SRP056821,PRJNA277905
SAMN03025403,SRP002480,PRJNA46333
SAMN04126222,SRP064400,PRJNA297252
SAMN06909391,SRP107323,PRJNA379120
SAMN06350186,SRP100409,PRJNA352475
SAMN06909387,SRP107323,PRJNA379120
SAMEA13321910,ERP125872,PRJEB42013
SAMN03399961,SRP056054,PRJNA231909
SAMN06350032,SRP100409,PRJNA352475
SAMN11355267,SRP191395,PRJNA531273
SAMN05301489,SRP077514,PRJNA327106
SAMN05525488,SRP078001,PRJNA322188
SAMEA104142364,ERP023788,PRJEB21528
SAMEA3136741,ERP008729,PRJEB7774
SAMN07199875,SRP108708,PRJNA385949
SAMEA104142202,ERP023788,PRJEB21528
SAMN04209236,SRP066053,PRJNA299502
SAMN08335065,SRP128485,PRJNA429097
SAMEA8072311,ERP127050,PRJEB43119
SAMN02334249,SRP029441,PRJNA217052
SAMN09382698,SRP150069,PRJNA475246
SAMEA3541588,ERP012177,PRJEB10878
SAMEA2155134,ERP003612,PRJEB4336
SAMEA1906563,ERP002469,PRJEB1786
SAMN10093294,SRP164774,PRJNA491335
SAMEA6591453,ERP120058,PRJEB36820
SAMN07200351,SRP108708,PRJNA385949
SAMEA4719788,ERP109040,PRJEB27005
SAMEA4545405,ERP019502,PRJEB17632
SAMN04261348,SRP066479,PRJNA300541
SAMEA8072231,ERP127050,PRJEB43119
SAMEA2154620,ERP003612,PRJEB4336
SAMEA110061246,ERP138199,PRJEB53403
SAMEA2161876,ERP003612,PRJEB4336
SAMN10093313,SRP164774,PRJNA491335
SAMEA1906550,ERP002469,PRJEB1786
SAMN06111977,SRP094805,PRJNA356102
SAMEA104416134,ERP104577,PRJEB22863
SAMEA112657409,ERP136418,PRJEB51776
SAMN11252288,SRP168387,PRJNA504891
SAMN00792116,SRP008047,PRJNA422434
SAMEA2055272,ERP002391,PRJEB1690
SAMN11252267,SRP168387,PRJNA504891
SAMN02333947,SRP029441,PRJNA217052
SAMEA4545403,ERP019502,PRJEB17632
SAMN06620496,SRP102150,PRJNA379741
SAMEA2737649,ERP006678,PRJEB6997
SAMN16811220,SRP292759,PRJNA678737
SAMEA1906564,ERP002469,PRJEB1786
SAMEA4968143,ERP111403,PRJEB29127
SAMN05710184,SRP083099,PRJNA340216
SAMN10093254,SRP164774,PRJNA491335
SAMN10093317,SRP164774,PRJNA491335
SAMEA3449322,ERP010700,PRJEB9576
SAMEA2737863,ERP006678,PRJEB6997
SAMEA2737748,ERP006678,PRJEB6997
SAMEA2737815,ERP006678,PRJEB6997
SAMEA110061133,ERP138197,PRJEB53401
SAMN06348110,SRP100575,PRJNA375935
SAMN00035489,SRP002395,PRJNA48333
SAMN00084302,SRP002395,PRJNA48333
SAMN07599721,SRP116709,PRJNA399742
SAMN06111956,SRP094805,PRJNA356102
SAMN15823266,SRP277469,PRJNA656577
SAMEA3449345,ERP010700,PRJEB9576
SAMN08335120,SRP128485,PRJNA429097
SAMEA1906432,ERP002469,PRJEB1786
SAMEA2157850,ERP003612,PRJEB4336
SAMN17250470,SRP300787,PRJNA690543
SAMEA3449183,ERP010700,PRJEB9576
SAMEA2338651,ERP004605,PRJEB5224
SAMEA104062424,ERP022986,PRJEB20800
SAMN00040485,SRP002395,PRJNA48333
SAMN02333984,SRP029441,PRJNA217052
SAMN11977906,SRP201343,PRJNA547591
SAMN11977894,SRP201343,PRJNA547591
SAMN07200373,SRP108708,PRJNA385949
SAMN20395404,SRP329840,PRJNA749645
SAMN04126185,SRP064400,PRJNA297252
SAMEA13321902,ERP125872,PRJEB42013
SAMEA3449350,ERP010700,PRJEB9576
SAMEA104416332,ERP104577,PRJEB22863
SAMEA2737866,ERP006678,PRJEB6997
SAMEA3182077,ERP009131,PRJEB8094
SAMN04126270,SRP064400,PRJNA297252
SAMN07199954,SRP108708,PRJNA385949
SAMEA3449258,ERP010700,PRJEB9576
SAMN11605824,SRP197281,PRJNA541981
SAMN22443756,SRP340838,PRJNA770295
SAMEA2055276,ERP002391,PRJEB1690
SAMEA1906422,ERP002469,PRJEB1786
SAMEA4968172,ERP111403,PRJEB29127
SAMEA8072235,ERP127050,PRJEB43119
SAMEA104142420,ERP023788,PRJEB21528
SAMEA2338761,ERP004605,PRJEB5224
SAMEA3951710,ERP015450,PRJEB13870
SAMN11252279,SRP168387,PRJNA504891
SAMN03922520,SRP062282,PRJNA290729
SAMN17250458,SRP300787,PRJNA690543
SAMEA112657328,ERP136418,PRJEB51776
SAMN03922524,SRP062282,PRJNA290729
SAMN11130581,SRP188507,PRJNA527208
SAMEA3879546,ERP013933,PRJEB12449
SAMEA3449157,ERP010700,PRJEB9576
SAMN05414894,SRP080787,PRJNA328899
SAMN10093189,SRP164774,PRJNA491335
SAMN22443749,SRP340838,PRJNA770295
SAMN22443612,SRP340838,PRJNA770295
SAMEA12111331,ERP134027,PRJEB49516
SAMEA2160998,ERP003612,PRJEB4336
SAMN11977742,SRP201343,PRJNA547591
SAMN17250495,SRP300787,PRJNA690543
SAMEA104335965,ERP104610,PRJEB22893
SAMN11977802,SRP201343,PRJNA547591
SAMN21886431,SRP339782,PRJNA762360
SAMN03398792,SRP056054,PRJNA231909
SAMN07448970,SRP114847,PRJNA397112
SAMN07449021,SRP114847,PRJNA397112
SAMEA8072315,ERP127050,PRJEB43119
SAMEA2161657,ERP003612,PRJEB4336
SAMEA5054148,ERP111669,PRJEB29373
SAMEA3951742,ERP015450,PRJEB13870
SAMN07599735,SRP116709,PRJNA399742
SAMEA3951731,ERP015450,PRJEB13870
SAMN03418285,SRP056480,PRJNA278393
SAMEA110061127,ERP138197,PRJEB53401
SAMN00715226,SRP008047,PRJNA422434
SAMN10888570,SRP184706,PRJNA521455
SAMEA104142390,ERP023788,PRJEB21528
SAMEA12111277,ERP134027,PRJEB49516
SAMN10847171,SRP182132,PRJNA516054
SAMEA110061189,ERP138197,PRJEB53401
SAMEA3951744,ERP015450,PRJEB13870
SAMN13013066,SRP182132,PRJNA516054
SAMEA8072208,ERP127050,PRJEB43119
SAMEA8072164,ERP127050,PRJEB43119
SAMEA3136643,ERP008729,PRJEB7774
SAMN06619226,SRP102150,PRJNA379741
SAMEA104416307,ERP104577,PRJEB22863
SAMEA5054134,ERP111669,PRJEB29373
SAMN10847093,SRP182132,PRJNA516054
SAMN00037971,SRP002395,PRJNA48333
SAMN06112043,SRP094805,PRJNA356102
SAMEA4968129,ERP111403,PRJEB29127
SAMN07211185,SRP108915,PRJNA389927
SAMN06328477,SRP100446,PRJNA373901
SAMN04126098,SRP064400,PRJNA297252
SAMN10781834,SRP182132,PRJNA516054
SAMEA3541564,ERP012177,PRJEB10878
SAMN06909364,SRP107323,PRJNA379120
SAMEA3136704,ERP008729,PRJEB7774
SAMN16673275,SRP292135,PRJNA672867
SAMN07599750,SRP116709,PRJNA399742
SAMEA4431935,ERP017091,PRJEB15371
SAMEA2145648,ERP003612,PRJEB4336
SAMEA6870590,ERP122062,PRJEB38625
SAMN05525408,SRP078001,PRJNA322188
SAMN07211167,SRP108915,PRJNA389927
SAMEA8072183,ERP127050,PRJEB43119
SAMEA104416267,ERP104577,PRJEB22863
SAMN07199843,SRP108708,PRJNA385949
SAMN00715132,SRP008047,PRJNA422434
SAMEA40183918,ERP020739,PRJEB18780
SAMEA5054138,ERP111669,PRJEB29373
SAMEA4545457,ERP019502,PRJEB17632
SAMN14366097,SRP252566,PRJNA612291
SAMN17250496,SRP300787,PRJNA690543
SAMN06112025,SRP094805,PRJNA356102
SAMEA104142078,ERP023788,PRJEB21528
SAMN04261276,SRP066479,PRJNA300541
SAMN06348173,SRP100575,PRJNA375935
SAMN00715167,SRP008047,PRJNA422434
SAMN09781768,SRP156699,PRJNA485056
SAMEA14367187,ERP132229,PRJEB47909
SAMEA4817945,ERP110064,PRJEB27928
SAMN22443537,SRP340838,PRJNA770295
SAMN03399883,SRP056054,PRJNA231909
SAMN06619245,SRP102150,PRJNA379741
SAMN07199953,SRP108708,PRJNA385949
SAMN06112090,SRP094805,PRJNA356102
SAMN09781727,SRP156699,PRJNA485056
SAMN08335080,SRP128485,PRJNA429097
SAMEA2338649,ERP004605,PRJEB5224
SAMEA110061330,ERP138199,PRJEB53403
SAMEA3951738,ERP015450,PRJEB13870
SAMEA40233418,ERP020739,PRJEB18780
SAMN16673250,SRP292135,PRJNA672867
SAMN06328418,SRP100446,PRJNA373901
SAMN03398856,SRP056054,PRJNA231909
SAMN07199931,SRP108708,PRJNA385949
SAMN11977912,SRP201343,PRJNA547591
SAMN09382683,SRP150069,PRJNA475246
SAMN11355276,SRP191395,PRJNA531273
SAMN11605844,SRP197281,PRJNA541981
SAMN04261170,SRP066479,PRJNA300541
SAMN04571726,SRP072561,PRJNA289586
SAMEA112657440,ERP136418,PRJEB51776
SAMN07199880,SRP108708,PRJNA385949
SAMN07199889,SRP108708,PRJNA385949
SAMEA4431931,ERP017091,PRJEB15371
SAMN06115535,SRP095060,PRJNA356225
SAMN03398548,SRP056821,PRJNA277905
SAMEA39936418,ERP020739,PRJEB18780
SAMN06350438,SRP100410,PRJNA376098
SAMN07200362,SRP108708,PRJNA385949
SAMEA4968161,ERP111403,PRJEB29127
SAMEA2338805,ERP004605,PRJEB5224
SAMN06350434,SRP100410,PRJNA376098
SAMN03398720,SRP056054,PRJNA231909
SAMEA104416186,ERP104577,PRJEB22863
SAMN04126189,SRP064400,PRJNA297252
SAMN05615102,SRP082656,PRJNA339914
SAMEA4968179,ERP111403,PRJEB29127
SAMN03025495,SRP002480,PRJNA46333
SAMN06350146,SRP100409,PRJNA352475
SAMN20395440,SRP329840,PRJNA749645
SAMEA3360686,ERP010229,PRJEB9150
SAMN06115455,SRP095060,PRJNA356225
SAMN02919204,SRP044400,PRJNA255439
SAMN06350072,SRP100409,PRJNA352475
SAMEA4968147,ERP111403,PRJEB29127
SAMEA3951763,ERP015450,PRJEB13870
SAMN06115426,SRP095060,PRJNA356225
SAMN12583227,SRP157939,PRJNA486009
SAMEA2338796,ERP004605,PRJEB5224
SAMN03400022,SRP056054,PRJNA231909
SAMN03025655,SRP002480,PRJNA46333
SAMEA3136690,ERP008729,PRJEB7774
SAMN03398867,SRP056054,PRJNA231909
SAMN06350172,SRP100409,PRJNA352475
SAMN04261319,SRP066479,PRJNA300541
SAMN04261355,SRP066479,PRJNA300541
SAMN03398599,SRP056821,PRJNA277905
SAMN03398532,SRP056821,PRJNA277905
SAMN07199848,SRP108708,PRJNA385949
SAMN16673262,SRP292135,PRJNA672867
SAMN05525360,SRP078001,PRJNA322188
SAMN00715250,SRP008047,PRJNA422434
SAMN22443743,SRP340838,PRJNA770295
SAMEA110061359,ERP138199,PRJEB53403
SAMN06620499,SRP102150,PRJNA379741
SAMEA4968182,ERP111403,PRJEB29127
SAMN03398605,SRP056821,PRJNA277905
SAMN22443471,SRP340838,PRJNA770295
SAMN11978110,SRP200814,PRJNA547717
SAMN03398967,SRP056054,PRJNA231909
SAMN06350071,SRP100409,PRJNA352475
SAMEA3360694,ERP010229,PRJEB9150
SAMEA12303386,ERP134027,PRJEB49516
SAMEA3449166,ERP010700,PRJEB9576
SAMEA110061104,ERP138197,PRJEB53401
SAMN07211173,SRP108915,PRJNA389927
SAMN05615103,SRP082656,PRJNA339914
SAMN22443434,SRP340838,PRJNA770295
SAMEA40196668,ERP020739,PRJEB18780
SAMN07211161,SRP108915,PRJNA389927
SAMN00715147,SRP008047,PRJNA422434
SAMN07211195,SRP108915,PRJNA389927
SAMN22443335,SRP340838,PRJNA770295
SAMEA39910918,ERP020739,PRJEB18780
SAMEA110061242,ERP138199,PRJEB53403
SAMN06350208,SRP100409,PRJNA352475
SAMN06350196,SRP100409,PRJNA352475
SAMN22443693,SRP340838,PRJNA770295
SAMN02919220,SRP044400,PRJNA255439
SAMEA14367112,ERP132229,PRJEB47909
SAMN09382463,SRP150069,PRJNA475246
SAMN12583220,SRP157939,PRJNA486009
SAMN04126193,SRP064400,PRJNA297252
SAMN16673324,SRP292135,PRJNA672867
SAMN09382495,SRP150069,PRJNA475246
SAMN02919190,SRP044400,PRJNA255439
SAMN06328421,SRP100446,PRJNA373901
SAMEA104416132,ERP104577,PRJEB22863
SAMN05525344,SRP078001,PRJNA322188
SAMEA40193668,ERP020739,PRJEB18780
SAMN00032700,SRP002012,PRJNA48477
SAMN05301493,SRP077514,PRJNA327106
SAMN06350199,SRP100409,PRJNA352475
SAMN06350445,SRP100895,PRJNA363003
SAMN09382528,SRP150069,PRJNA475246
SAMN03025425,SRP002480,PRJNA46333
SAMN09382655,SRP150069,PRJNA475246
SAMN11978195,SRP200814,PRJNA547717
SAMN09382731,SRP150069,PRJNA475246
SAMN03025465,SRP002480,PRJNA46333
SAMN07211198,SRP108915,PRJNA389927
SAMEA8072159,ERP127050,PRJEB43119
SAMEA103958144,ERP019674,PRJEB17784
SAMEA6591440,ERP120058,PRJEB36820
SAMN03283263,SRP052307,PRJNA268964
SAMN09781760,SRP156699,PRJNA485056
SAMN20395400,SRP329840,PRJNA749645
SAMEA104416331,ERP104577,PRJEB22863
SAMEA1906530,ERP002469,PRJEB1786
SAMN02334006,SRP029441,PRJNA217052
SAMN16673246,SRP292135,PRJNA672867
SAMEA2055281,ERP002391,PRJEB1690
SAMEA2338657,ERP004605,PRJEB5224
SAMEA3360680,ERP010229,PRJEB9150
SAMN04261202,SRP066479,PRJNA300541
SAMN08159967,SRP126540,PRJNA421881
SAMN09382464,SRP150069,PRJNA475246
SAMEA104416277,ERP104577,PRJEB22863
SAMEA3879585,ERP013933,PRJEB12449
SAMEA8072190,ERP127050,PRJEB43119
SAMN00792094,SRP008047,PRJNA422434
SAMN10093266,SRP164774,PRJNA491335
SAMN16673387,SRP292135,PRJNA672867
SAMN02334147,SRP029441,PRJNA217052
SAMEA103958136,ERP019674,PRJEB17784
SAMEA3136752,ERP008729,PRJEB7774
SAMN05414937,SRP080787,PRJNA328899
SAMEA2737830,ERP006678,PRJEB6997
SAMN21886445,SRP339782,PRJNA762360
SAMEA2737653,ERP006678,PRJEB6997
SAMEA103958149,ERP019674,PRJEB17784
SAMN03287598,SRP052958,PRJNA255922
SAMEA4545367,ERP019502,PRJEB17632
SAMEA6870450,ERP122062,PRJEB38625
SAMN02334383,SRP029441,PRJNA217052
SAMEA4817939,ERP110064,PRJEB27928
SAMEA6870405,ERP122062,PRJEB38625
SAMN02334323,SRP029441,PRJNA217052
SAMEA3541593,ERP012177,PRJEB10878
SAMN07199884,SRP108708,PRJNA385949
SAMEA4817909,ERP110064,PRJEB27928
SAMN02334210,SRP029441,PRJNA217052
SAMN06350475,SRP100410,PRJNA376098
SAMEA2466904,ERP005534,PRJEB6070
SAMN04261200,SRP066479,PRJNA300541
SAMN04126150,SRP064400,PRJNA297252
