study_name	sample_id	subject_id	target_condition	target_condition_ontology_term_id	host_species	host_species_ontology_term_id	body_site	body_site_ontology_term_id	control	control_ontology_term_id	age	age_unit	age_unit_ontology_term_id	sex	sex_ontology_term_id	curator	sequencing_platform	pmid	country	location	westernized	ncbi_accession
SampsonTR_2025	hSCATG035AM2_6MTH_01022020	hSCATG035AM2	Parkinson Disease	NCIT:C26845	Mus musculus	NCBITaxon:10090	feces	NCIT:C13393	Study Control	NCIT:C142703	6	Month	NCIT:C29846	Male	NCIT:C20197	Kaelyn Long	IlluminaHiSeq	39893159	United States	Alabama	Yes	SRR28674733
SampsonTR_2025	hSCATG035AM2_3MTH_10032019	hSCATG035AM2	Parkinson Disease	NCIT:C26845	Mus musculus	NCBITaxon:10090	feces	NCIT:C13394	Study Control	NCIT:C142703	3	Month	NCIT:C29846	Male	NCIT:C20197	Kaelyn Long	IlluminaHiSeq	39893159	United States	Alabama	Yes	SRR28674734
SampsonTR_2025	hSCATG035AM2_1MTH_08012019	hSCATG035AM2	Parkinson Disease	NCIT:C26845	Mus musculus	NCBITaxon:10090	feces	NCIT:C13395	Study Control	NCIT:C142703	1	Month	NCIT:C29846	Male	NCIT:C20197	Kaelyn Long	IlluminaHiSeq	39893159	United States	Alabama	Yes	SRR28674735
SampsonTR_2025	hSCATG028AM1_1MTH_07222019	hSCATG028AM1	Parkinson Disease	NCIT:C26845	Mus musculus	NCBITaxon:10090	feces	NCIT:C13396	Case	NCIT:C49152	1	Month	NCIT:C29846	Male	NCIT:C20197	Kaelyn Long	IlluminaHiSeq	39893159	United States	Alabama	Yes	SRR28674736
SampsonTR_2025	hSCATG028AM1_12MTH_06302020	hSCATG028AM1	Parkinson Disease	NCIT:C26845	Mus musculus	NCBITaxon:10090	feces	NCIT:C13397	Case	NCIT:C49152	12	Month	NCIT:C29846	Male	NCIT:C20197	Kaelyn Long	IlluminaHiSeq	39893159	United States	Alabama	Yes	SRR28674737
SampsonTR_2025	hSCATG027AM4_6MTH_12162019	hSCATG027AM4	Parkinson Disease	NCIT:C26845	Mus musculus	NCBITaxon:10090	feces	NCIT:C13398	Case	NCIT:C49152	6	Month	NCIT:C29846	Male	NCIT:C20197	Kaelyn Long	IlluminaHiSeq	39893159	United States	Alabama	Yes	SRR28674738
SampsonTR_2025	hSCATG027AM4_3MTH_09162019	hSCATG027AM4	Parkinson Disease	NCIT:C26845	Mus musculus	NCBITaxon:10090	feces	NCIT:C13399	Case	NCIT:C49152	3	Month	NCIT:C29846	Male	NCIT:C20197	Kaelyn Long	IlluminaHiSeq	39893159	United States	Alabama	Yes	SRR28674739
SampsonTR_2025	hSCATG027AM4_1MTH_07152019	hSCATG027AM4	Parkinson Disease	NCIT:C26845	Mus musculus	NCBITaxon:10090	feces	NCIT:C13400	Case	NCIT:C49152	1	Month	NCIT:C29846	Male	NCIT:C20197	Kaelyn Long	IlluminaHiSeq	39893159	United States	Alabama	Yes	SRR28674740
SampsonTR_2025	hSCATG027AM4_12MTH_06142020	hSCATG027AM4	Parkinson Disease	NCIT:C26845	Mus musculus	NCBITaxon:10090	feces	NCIT:C13401	Case	NCIT:C49152	12	Month	NCIT:C29846	Male	NCIT:C20197	Kaelyn Long	IlluminaHiSeq	39893159	United States	Alabama	Yes	SRR28674741
SampsonTR_2025	hSCATG018AM5_12MTH_06042020	hSCATG018AM5	Parkinson Disease	NCIT:C26845	Mus musculus	NCBITaxon:10090	feces	NCIT:C13402	Study Control	NCIT:C142703	12	Month	NCIT:C29846	Male	NCIT:C20197	Kaelyn Long	IlluminaHiSeq	39893159	United States	Alabama	Yes	SRR28674742
